travelCode;userCode;name;place;days;price;total;date
11159;111;Hotel AU;Recife (PE);4;312.83;1251.32;2019/12/05
11161;111;Hotel BP;Brasilia (DF);3;247.62;742.86;2019/12/19
11165;111;Hotel AU;Recife (PE);2;312.83;625.66;2020/01/16
11167;111;Hotel AU;Recife (PE);4;312.83;1251.32;2020/01/30
11171;111;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2020/02/27
11174;111;Hotel A;Florianopolis (SC);1;313.02;313.02;2020/03/19
11177;111;Hotel AU;Recife (PE);2;312.83;625.66;2020/04/09
11183;111;Hotel BP;Brasilia (DF);4;247.62;990.48;2020/05/21
11184;111;Hotel Z;Aracaju (SE);1;208.04;208.04;2020/05/28
11190;111;Hotel A;Florianopolis (SC);1;313.02;313.02;2020/07/09
11192;111;Hotel BD;Natal (RN);2;242.88;485.76;2020/07/23
11199;111;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/09/10
11203;111;Hotel K;Salvador (BH);4;263.41;1053.64;2020/10/08
11208;111;Hotel Z;Aracaju (SE);3;208.04;624.12;2020/11/12
11209;111;Hotel CB;Rio de Janeiro (RJ);2;165.99;331.98;2020/11/19
11210;111;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/11/26
11218;111;Hotel AU;Recife (PE);1;312.83;312.83;2021/01/21
11225;111;Hotel A;Florianopolis (SC);3;313.02;939.06;2021/03/11
11234;111;Hotel BP;Brasilia (DF);2;247.62;495.24;2021/05/13
11241;111;Hotel AU;Recife (PE);3;312.83;938.49;2021/07/01
11242;111;Hotel AU;Recife (PE);4;312.83;1251.32;2021/07/08
11247;111;Hotel AF;Sao Paulo (SP);4;139.1;556.4;2021/08/12
11248;111;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2021/08/19
11251;111;Hotel Z;Aracaju (SE);1;208.04;208.04;2021/09/09
11252;111;Hotel BP;Brasilia (DF);3;247.62;742.86;2021/09/16
11254;111;Hotel K;Salvador (BH);2;263.41;526.82;2021/09/30
11260;111;Hotel BW;Campo Grande (MS);3;60.39;181.17;2021/11/11
11261;111;Hotel BW;Campo Grande (MS);3;60.39;181.17;2021/11/18
11265;111;Hotel BP;Brasilia (DF);1;247.62;247.62;2021/12/16
11269;111;Hotel BD;Natal (RN);4;242.88;971.52;2022/01/13
11270;111;Hotel K;Salvador (BH);3;263.41;790.23;2022/01/20
11278;111;Hotel Z;Aracaju (SE);3;208.04;624.12;2022/03/17
11279;111;Hotel Z;Aracaju (SE);4;208.04;832.16;2022/03/24
11284;111;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2022/04/28
11285;111;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2022/05/05
11286;111;Hotel BD;Natal (RN);3;242.88;728.64;2022/05/12
11287;111;Hotel BD;Natal (RN);2;242.88;485.76;2022/05/19
11290;111;Hotel BW;Campo Grande (MS);4;60.39;241.56;2022/06/09
11292;111;Hotel A;Florianopolis (SC);4;313.02;1252.08;2022/06/23
11294;111;Hotel AU;Recife (PE);4;312.83;1251.32;2022/07/07
11296;111;Hotel A;Florianopolis (SC);2;313.02;626.04;2022/07/21
11298;111;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2022/08/04
11301;111;Hotel Z;Aracaju (SE);1;208.04;208.04;2022/08/25
11305;111;Hotel Z;Aracaju (SE);4;208.04;832.16;2022/09/22
11315;111;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2022/12/01
11316;111;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2022/12/08
11319;111;Hotel A;Florianopolis (SC);3;313.02;939.06;2022/12/29
11320;111;Hotel Z;Aracaju (SE);1;208.04;208.04;2023/01/05
11324;111;Hotel AU;Recife (PE);1;312.83;312.83;2023/02/02
11325;111;Hotel AU;Recife (PE);3;312.83;938.49;2023/02/09
11329;111;Hotel A;Florianopolis (SC);3;313.02;939.06;2023/03/09
11330;111;Hotel A;Florianopolis (SC);4;313.02;1252.08;2023/03/16
11333;111;Hotel AF;Sao Paulo (SP);4;139.1;556.4;2023/04/06
11334;111;Hotel K;Salvador (BH);4;263.41;1053.64;2023/04/13
11340;112;Hotel Z;Aracaju (SE);3;208.04;624.12;2019/10/17
11343;112;Hotel BD;Natal (RN);4;242.88;971.52;2019/11/07
11346;112;Hotel A;Florianopolis (SC);2;313.02;626.04;2019/11/28
11348;112;Hotel A;Florianopolis (SC);1;313.02;313.02;2019/12/12
11349;112;Hotel BP;Brasilia (DF);3;247.62;742.86;2019/12/19
11351;112;Hotel Z;Aracaju (SE);3;208.04;624.12;2020/01/02
11352;112;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/01/09
11356;112;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2020/02/06
11357;112;Hotel A;Florianopolis (SC);4;313.02;1252.08;2020/02/13
11363;112;Hotel BW;Campo Grande (MS);3;60.39;181.17;2020/03/26
11367;112;Hotel K;Salvador (BH);3;263.41;790.23;2020/04/23
11373;112;Hotel AU;Recife (PE);3;312.83;938.49;2020/06/04
11374;112;Hotel BD;Natal (RN);3;242.88;728.64;2020/06/11
11375;112;Hotel K;Salvador (BH);2;263.41;526.82;2020/06/18
11387;112;Hotel A;Florianopolis (SC);1;313.02;313.02;2020/09/10
11388;112;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2020/09/17
11392;112;Hotel AF;Sao Paulo (SP);4;139.1;556.4;2020/10/15
11394;112;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2020/10/29
11399;112;Hotel BP;Brasilia (DF);2;247.62;495.24;2020/12/03
11402;112;Hotel BP;Brasilia (DF);1;247.62;247.62;2020/12/24
11413;112;Hotel BD;Natal (RN);1;242.88;242.88;2021/03/11
11415;112;Hotel BP;Brasilia (DF);4;247.62;990.48;2021/03/25
11416;112;Hotel BD;Natal (RN);3;242.88;728.64;2021/04/01
11417;112;Hotel A;Florianopolis (SC);2;313.02;626.04;2021/04/08
11421;112;Hotel K;Salvador (BH);4;263.41;1053.64;2021/05/06
11422;112;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2021/05/13
11427;112;Hotel BW;Campo Grande (MS);3;60.39;181.17;2021/06/17
11431;112;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2021/07/15
11432;112;Hotel K;Salvador (BH);4;263.41;1053.64;2021/07/22
11434;112;Hotel BD;Natal (RN);4;242.88;971.52;2021/08/05
11437;112;Hotel Z;Aracaju (SE);4;208.04;832.16;2021/08/26
11439;112;Hotel K;Salvador (BH);4;263.41;1053.64;2021/09/09
11440;112;Hotel BD;Natal (RN);1;242.88;242.88;2021/09/16
11441;112;Hotel Z;Aracaju (SE);2;208.04;416.08;2021/09/23
11442;112;Hotel BD;Natal (RN);3;242.88;728.64;2021/09/30
11447;112;Hotel K;Salvador (BH);4;263.41;1053.64;2021/11/04
11450;112;Hotel K;Salvador (BH);3;263.41;790.23;2021/11/25
11459;112;Hotel K;Salvador (BH);4;263.41;1053.64;2022/01/27
11460;112;Hotel Z;Aracaju (SE);1;208.04;208.04;2022/02/03
11467;112;Hotel K;Salvador (BH);1;263.41;263.41;2022/03/24
11468;112;Hotel BW;Campo Grande (MS);4;60.39;241.56;2022/03/31
11472;112;Hotel BP;Brasilia (DF);3;247.62;742.86;2022/04/28
11474;112;Hotel K;Salvador (BH);2;263.41;526.82;2022/05/12
11481;112;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2022/06/30
11482;112;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2022/07/07
11488;112;Hotel BP;Brasilia (DF);2;247.62;495.24;2022/08/18
11489;112;Hotel CB;Rio de Janeiro (RJ);2;165.99;331.98;2022/08/25
11498;112;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2022/10/27
11501;112;Hotel BW;Campo Grande (MS);3;60.39;181.17;2022/11/17
11502;112;Hotel K;Salvador (BH);1;263.41;263.41;2022/11/24
11504;112;Hotel Z;Aracaju (SE);4;208.04;832.16;2022/12/08
11505;112;Hotel BP;Brasilia (DF);3;247.62;742.86;2022/12/15
11507;112;Hotel CB;Rio de Janeiro (RJ);2;165.99;331.98;2022/12/29
11508;112;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2023/01/05
11511;112;Hotel AU;Recife (PE);4;312.83;1251.32;2023/01/26
11512;112;Hotel BD;Natal (RN);3;242.88;728.64;2023/02/02
11519;112;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2023/03/23
11521;112;Hotel BD;Natal (RN);2;242.88;485.76;2023/04/06
11522;112;Hotel A;Florianopolis (SC);4;313.02;1252.08;2023/04/13
11524;112;Hotel K;Salvador (BH);2;263.41;526.82;2023/04/27
11528;112;Hotel BD;Natal (RN);3;242.88;728.64;2023/05/25
11530;112;Hotel BD;Natal (RN);4;242.88;971.52;2023/06/08
11531;113;Hotel BD;Natal (RN);4;242.88;971.52;2019/09/26
11533;113;Hotel A;Florianopolis (SC);2;313.02;626.04;2019/10/10
11537;113;Hotel K;Salvador (BH);2;263.41;526.82;2019/11/07
11540;113;Hotel BP;Brasilia (DF);4;247.62;990.48;2019/11/28
11541;113;Hotel Z;Aracaju (SE);3;208.04;624.12;2019/12/05
11543;113;Hotel BD;Natal (RN);4;242.88;971.52;2019/12/19
11547;113;Hotel K;Salvador (BH);3;263.41;790.23;2020/01/16
11548;113;Hotel K;Salvador (BH);3;263.41;790.23;2020/01/23
11551;113;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/02/13
11552;113;Hotel A;Florianopolis (SC);4;313.02;1252.08;2020/02/20
11553;113;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2020/02/27
11557;113;Hotel K;Salvador (BH);3;263.41;790.23;2020/03/26
11563;113;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2020/05/07
11565;113;Hotel A;Florianopolis (SC);4;313.02;1252.08;2020/05/21
11567;113;Hotel BD;Natal (RN);1;242.88;242.88;2020/06/04
11572;113;Hotel BD;Natal (RN);4;242.88;971.52;2020/07/09
11574;113;Hotel BP;Brasilia (DF);1;247.62;247.62;2020/07/23
11586;113;Hotel A;Florianopolis (SC);2;313.02;626.04;2020/10/15
11588;113;Hotel AU;Recife (PE);2;312.83;625.66;2020/10/29
11590;113;Hotel BP;Brasilia (DF);3;247.62;742.86;2020/11/12
11592;113;Hotel Z;Aracaju (SE);4;208.04;832.16;2020/11/26
11595;113;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2020/12/17
11601;113;Hotel AU;Recife (PE);2;312.83;625.66;2021/01/28
11602;113;Hotel BD;Natal (RN);4;242.88;971.52;2021/02/04
11604;113;Hotel BW;Campo Grande (MS);4;60.39;241.56;2021/02/18
11606;113;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2021/03/04
11607;113;Hotel AU;Recife (PE);1;312.83;312.83;2021/03/11
11609;113;Hotel A;Florianopolis (SC);2;313.02;626.04;2021/03/25
11610;113;Hotel AU;Recife (PE);4;312.83;1251.32;2021/04/01
11613;113;Hotel A;Florianopolis (SC);1;313.02;313.02;2021/04/22
11615;113;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2021/05/06
11621;113;Hotel K;Salvador (BH);1;263.41;263.41;2021/06/17
11625;113;Hotel BW;Campo Grande (MS);1;60.39;60.39;2021/07/15
11627;113;Hotel BW;Campo Grande (MS);2;60.39;120.78;2021/07/29
11629;113;Hotel BD;Natal (RN);3;242.88;728.64;2021/08/12
11630;113;Hotel K;Salvador (BH);3;263.41;790.23;2021/08/19
11631;113;Hotel A;Florianopolis (SC);3;313.02;939.06;2021/08/26
11633;113;Hotel BD;Natal (RN);1;242.88;242.88;2021/09/09
11636;113;Hotel A;Florianopolis (SC);4;313.02;1252.08;2021/09/30
11638;113;Hotel BD;Natal (RN);2;242.88;485.76;2021/10/14
11640;113;Hotel BW;Campo Grande (MS);2;60.39;120.78;2021/10/28
11641;113;Hotel AU;Recife (PE);3;312.83;938.49;2021/11/04
11644;113;Hotel A;Florianopolis (SC);1;313.02;313.02;2021/11/25
11645;113;Hotel K;Salvador (BH);2;263.41;526.82;2021/12/02
11649;114;Hotel BD;Natal (RN);2;242.88;485.76;2019/10/03
11653;114;Hotel BW;Campo Grande (MS);2;60.39;120.78;2019/10/31
11655;114;Hotel A;Florianopolis (SC);1;313.02;313.02;2019/11/14
11658;114;Hotel A;Florianopolis (SC);1;313.02;313.02;2019/12/05
11660;114;Hotel K;Salvador (BH);3;263.41;790.23;2019/12/19
11661;114;Hotel BW;Campo Grande (MS);4;60.39;241.56;2019/12/26
11662;114;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2020/01/02
11663;114;Hotel A;Florianopolis (SC);2;313.02;626.04;2020/01/09
11665;114;Hotel K;Salvador (BH);4;263.41;1053.64;2020/01/23
11668;114;Hotel AF;Sao Paulo (SP);4;139.1;556.4;2020/02/13
11672;114;Hotel Z;Aracaju (SE);1;208.04;208.04;2020/03/12
11679;115;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2019/10/31
11683;115;Hotel BD;Natal (RN);4;242.88;971.52;2019/11/28
11684;115;Hotel BD;Natal (RN);3;242.88;728.64;2019/12/05
11686;115;Hotel BW;Campo Grande (MS);3;60.39;181.17;2019/12/19
11688;115;Hotel K;Salvador (BH);2;263.41;526.82;2020/01/02
11694;115;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2020/02/13
11697;115;Hotel BD;Natal (RN);1;242.88;242.88;2020/03/05
11699;115;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2020/03/19
11703;115;Hotel BD;Natal (RN);2;242.88;485.76;2020/04/16
11706;115;Hotel BP;Brasilia (DF);4;247.62;990.48;2020/05/07
11707;115;Hotel Z;Aracaju (SE);2;208.04;416.08;2020/05/14
11709;115;Hotel AU;Recife (PE);4;312.83;1251.32;2020/05/28
11710;115;Hotel BP;Brasilia (DF);4;247.62;990.48;2020/06/04
11713;115;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2020/06/25
11714;115;Hotel A;Florianopolis (SC);1;313.02;313.02;2020/07/02
11715;115;Hotel BW;Campo Grande (MS);4;60.39;241.56;2020/07/09
11720;115;Hotel AU;Recife (PE);3;312.83;938.49;2020/08/13
11721;115;Hotel AU;Recife (PE);3;312.83;938.49;2020/08/20
11724;115;Hotel BD;Natal (RN);2;242.88;485.76;2020/09/10
11730;115;Hotel AU;Recife (PE);2;312.83;625.66;2020/10/22
11731;115;Hotel A;Florianopolis (SC);3;313.02;939.06;2020/10/29
11732;115;Hotel K;Salvador (BH);1;263.41;263.41;2020/11/05
11735;115;Hotel AU;Recife (PE);4;312.83;1251.32;2020/11/26
11740;115;Hotel BD;Natal (RN);1;242.88;242.88;2020/12/31
11743;115;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2021/01/21
11746;115;Hotel BD;Natal (RN);1;242.88;242.88;2021/02/11
11753;115;Hotel BW;Campo Grande (MS);4;60.39;241.56;2021/04/01
11754;115;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2021/04/08
11758;115;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2021/05/06
11759;115;Hotel K;Salvador (BH);2;263.41;526.82;2021/05/13
11762;115;Hotel BD;Natal (RN);2;242.88;485.76;2021/06/03
11769;115;Hotel A;Florianopolis (SC);4;313.02;1252.08;2021/07/22
11770;115;Hotel BW;Campo Grande (MS);4;60.39;241.56;2021/07/29
11775;115;Hotel A;Florianopolis (SC);4;313.02;1252.08;2021/09/02
11776;115;Hotel Z;Aracaju (SE);3;208.04;624.12;2021/09/09
11779;115;Hotel BP;Brasilia (DF);3;247.62;742.86;2021/09/30
11781;115;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2021/10/14
11782;115;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2021/10/21
11787;115;Hotel Z;Aracaju (SE);1;208.04;208.04;2021/11/25
11790;115;Hotel AU;Recife (PE);3;312.83;938.49;2021/12/16
11792;115;Hotel K;Salvador (BH);3;263.41;790.23;2021/12/30
11793;115;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2022/01/06
11795;115;Hotel AU;Recife (PE);2;312.83;625.66;2022/01/20
11796;115;Hotel AF;Sao Paulo (SP);4;139.1;556.4;2022/01/27
11800;115;Hotel BW;Campo Grande (MS);4;60.39;241.56;2022/02/24
11807;115;Hotel K;Salvador (BH);2;263.41;526.82;2022/04/14
11810;115;Hotel BD;Natal (RN);3;242.88;728.64;2022/05/05
11811;115;Hotel Z;Aracaju (SE);3;208.04;624.12;2022/05/12
11812;115;Hotel Z;Aracaju (SE);2;208.04;416.08;2022/05/19
11817;115;Hotel Z;Aracaju (SE);2;208.04;416.08;2022/06/23
11821;115;Hotel BD;Natal (RN);2;242.88;485.76;2022/07/21
11822;115;Hotel AU;Recife (PE);1;312.83;312.83;2022/07/28
11825;115;Hotel A;Florianopolis (SC);1;313.02;313.02;2022/08/18
11828;115;Hotel BD;Natal (RN);3;242.88;728.64;2022/09/08
11830;115;Hotel BD;Natal (RN);3;242.88;728.64;2022/09/22
11834;115;Hotel Z;Aracaju (SE);3;208.04;624.12;2022/10/20
11838;115;Hotel Z;Aracaju (SE);1;208.04;208.04;2022/11/17
11839;115;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2022/11/24
11841;115;Hotel K;Salvador (BH);4;263.41;1053.64;2022/12/08
11842;115;Hotel Z;Aracaju (SE);3;208.04;624.12;2022/12/15
11848;115;Hotel BP;Brasilia (DF);3;247.62;742.86;2023/01/26
11849;115;Hotel AF;Sao Paulo (SP);4;139.1;556.4;2023/02/02
11850;115;Hotel K;Salvador (BH);4;263.41;1053.64;2023/02/09
11854;116;Hotel Z;Aracaju (SE);3;208.04;624.12;2019/10/17
11857;116;Hotel K;Salvador (BH);3;263.41;790.23;2019/11/07
11858;116;Hotel A;Florianopolis (SC);1;313.02;313.02;2019/11/14
11859;116;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2019/11/21
11861;116;Hotel BD;Natal (RN);3;242.88;728.64;2019/12/05
11862;116;Hotel A;Florianopolis (SC);3;313.02;939.06;2019/12/12
11863;116;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2019/12/19
11865;116;Hotel K;Salvador (BH);2;263.41;526.82;2020/01/02
11867;116;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2020/01/16
11868;116;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2020/01/23
11871;116;Hotel AF;Sao Paulo (SP);4;139.1;556.4;2020/02/13
11873;116;Hotel BD;Natal (RN);1;242.88;242.88;2020/02/27
11874;116;Hotel AF;Sao Paulo (SP);4;139.1;556.4;2020/03/05
11880;116;Hotel Z;Aracaju (SE);4;208.04;832.16;2020/04/16
11881;116;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2020/04/23
11883;116;Hotel BD;Natal (RN);4;242.88;971.52;2020/05/07
11885;116;Hotel BW;Campo Grande (MS);4;60.39;241.56;2020/05/21
11886;116;Hotel BP;Brasilia (DF);4;247.62;990.48;2020/05/28
11889;116;Hotel A;Florianopolis (SC);2;313.02;626.04;2020/06/18
11898;116;Hotel BD;Natal (RN);1;242.88;242.88;2020/08/20
11903;116;Hotel K;Salvador (BH);4;263.41;1053.64;2020/09/24
11909;116;Hotel AU;Recife (PE);2;312.83;625.66;2020/11/05
11914;116;Hotel A;Florianopolis (SC);3;313.02;939.06;2020/12/10
11920;116;Hotel A;Florianopolis (SC);2;313.02;626.04;2021/01/21
11922;116;Hotel BP;Brasilia (DF);4;247.62;990.48;2021/02/04
11926;116;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2021/03/04
11927;116;Hotel BW;Campo Grande (MS);2;60.39;120.78;2021/03/11
11931;116;Hotel BD;Natal (RN);2;242.88;485.76;2021/04/08
11932;116;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2021/04/15
11939;116;Hotel BW;Campo Grande (MS);1;60.39;60.39;2021/06/03
11945;116;Hotel BP;Brasilia (DF);4;247.62;990.48;2021/07/15
11947;116;Hotel BP;Brasilia (DF);1;247.62;247.62;2021/07/29
11948;116;Hotel K;Salvador (BH);2;263.41;526.82;2021/08/05
11950;117;Hotel BW;Campo Grande (MS);3;60.39;181.17;2019/10/03
11952;117;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2019/10/17
11957;117;Hotel BP;Brasilia (DF);3;247.62;742.86;2019/11/21
11958;117;Hotel AU;Recife (PE);3;312.83;938.49;2019/11/28
11960;117;Hotel Z;Aracaju (SE);2;208.04;416.08;2019/12/12
11966;117;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/01/23
11967;117;Hotel BD;Natal (RN);4;242.88;971.52;2020/01/30
11969;117;Hotel Z;Aracaju (SE);2;208.04;416.08;2020/02/13
11973;117;Hotel AU;Recife (PE);3;312.83;938.49;2020/03/12
11976;117;Hotel K;Salvador (BH);2;263.41;526.82;2020/04/02
11978;117;Hotel BW;Campo Grande (MS);4;60.39;241.56;2020/04/16
11981;117;Hotel BD;Natal (RN);4;242.88;971.52;2020/05/07
11985;117;Hotel Z;Aracaju (SE);4;208.04;832.16;2020/06/04
11989;117;Hotel BW;Campo Grande (MS);4;60.39;241.56;2020/07/02
11992;117;Hotel BD;Natal (RN);3;242.88;728.64;2020/07/23
11995;117;Hotel BP;Brasilia (DF);3;247.62;742.86;2020/08/13
11996;117;Hotel BD;Natal (RN);2;242.88;485.76;2020/08/20
12000;117;Hotel BD;Natal (RN);1;242.88;242.88;2020/09/17
12006;117;Hotel AF;Sao Paulo (SP);3;139.1;417.3;2020/10/29
12007;117;Hotel AU;Recife (PE);1;312.83;312.83;2020/11/05
12010;117;Hotel BD;Natal (RN);3;242.88;728.64;2020/11/26
12013;117;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/12/17
12016;117;Hotel BP;Brasilia (DF);3;247.62;742.86;2021/01/07
12017;117;Hotel Z;Aracaju (SE);1;208.04;208.04;2021/01/14
12018;117;Hotel BW;Campo Grande (MS);1;60.39;60.39;2021/01/21
12021;117;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2021/02/11
12026;117;Hotel BD;Natal (RN);2;242.88;485.76;2021/03/18
12035;117;Hotel K;Salvador (BH);4;263.41;1053.64;2021/05/20
12036;117;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2021/05/27
12038;117;Hotel K;Salvador (BH);3;263.41;790.23;2021/06/10
12041;117;Hotel A;Florianopolis (SC);3;313.02;939.06;2021/07/01
12045;117;Hotel A;Florianopolis (SC);2;313.02;626.04;2021/07/29
12048;117;Hotel AF;Sao Paulo (SP);4;139.1;556.4;2021/08/19
12056;117;Hotel A;Florianopolis (SC);4;313.02;1252.08;2021/10/14
12058;117;Hotel K;Salvador (BH);3;263.41;790.23;2021/10/28
12059;117;Hotel BW;Campo Grande (MS);2;60.39;120.78;2021/11/04
12060;117;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2021/11/11
12061;117;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2021/11/18
12062;117;Hotel A;Florianopolis (SC);4;313.02;1252.08;2021/11/25
12066;118;Hotel A;Florianopolis (SC);2;313.02;626.04;2019/10/10
12069;118;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2019/10/31
12076;118;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2019/12/19
12077;118;Hotel A;Florianopolis (SC);1;313.02;313.02;2019/12/26
12082;118;Hotel K;Salvador (BH);3;263.41;790.23;2020/01/30
12083;118;Hotel BD;Natal (RN);1;242.88;242.88;2020/02/06
12084;118;Hotel CB;Rio de Janeiro (RJ);4;165.99;663.96;2020/02/13
12086;118;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2020/02/27
12087;118;Hotel CB;Rio de Janeiro (RJ);2;165.99;331.98;2020/03/05
12090;118;Hotel BP;Brasilia (DF);2;247.62;495.24;2020/03/26
12098;118;Hotel AF;Sao Paulo (SP);2;139.1;278.2;2020/05/21
12101;118;Hotel K;Salvador (BH);4;263.41;1053.64;2020/06/11
12102;118;Hotel BP;Brasilia (DF);2;247.62;495.24;2020/06/18
12103;118;Hotel A;Florianopolis (SC);4;313.02;1252.08;2020/06/25
12104;118;Hotel BP;Brasilia (DF);4;247.62;990.48;2020/07/02
12109;118;Hotel A;Florianopolis (SC);3;313.02;939.06;2020/08/06
12110;118;Hotel BD;Natal (RN);2;242.88;485.76;2020/08/13
12112;118;Hotel BW;Campo Grande (MS);2;60.39;120.78;2020/08/27
12113;118;Hotel A;Florianopolis (SC);2;313.02;626.04;2020/09/03
12117;118;Hotel K;Salvador (BH);2;263.41;526.82;2020/10/01
12119;118;Hotel Z;Aracaju (SE);1;208.04;208.04;2020/10/15
12123;118;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2020/11/12
12128;118;Hotel BW;Campo Grande (MS);1;60.39;60.39;2020/12/17
12130;118;Hotel BP;Brasilia (DF);3;247.62;742.86;2020/12/31
12133;118;Hotel BW;Campo Grande (MS);3;60.39;181.17;2021/01/21
12134;118;Hotel K;Salvador (BH);1;263.41;263.41;2021/01/28
12137;118;Hotel BW;Campo Grande (MS);2;60.39;120.78;2021/02/18
12141;118;Hotel BD;Natal (RN);4;242.88;971.52;2021/03/18
12148;118;Hotel K;Salvador (BH);3;263.41;790.23;2021/05/06
12152;118;Hotel BW;Campo Grande (MS);4;60.39;241.56;2021/06/03
12155;118;Hotel BD;Natal (RN);2;242.88;485.76;2021/06/24
12162;118;Hotel CB;Rio de Janeiro (RJ);2;165.99;331.98;2021/08/12
12165;119;Hotel K;Salvador (BH);3;263.41;790.23;2019/09/26
12166;119;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2019/10/03
12168;119;Hotel AU;Recife (PE);2;312.83;625.66;2019/10/17
12175;119;Hotel K;Salvador (BH);2;263.41;526.82;2019/12/05
12176;119;Hotel BP;Brasilia (DF);4;247.62;990.48;2019/12/12
12183;119;Hotel BD;Natal (RN);1;242.88;242.88;2020/01/30
12184;119;Hotel BP;Brasilia (DF);1;247.62;247.62;2020/02/06
12185;119;Hotel AF;Sao Paulo (SP);1;139.1;139.1;2020/02/13
12189;119;Hotel Z;Aracaju (SE);2;208.04;416.08;2020/03/12
12193;119;Hotel BD;Natal (RN);2;242.88;485.76;2020/04/09
12194;119;Hotel Z;Aracaju (SE);1;208.04;208.04;2020/04/16
12197;119;Hotel BP;Brasilia (DF);3;247.62;742.86;2020/05/07
12201;119;Hotel BD;Natal (RN);2;242.88;485.76;2020/06/04
12202;119;Hotel Z;Aracaju (SE);3;208.04;624.12;2020/06/11
12205;119;Hotel BD;Natal (RN);2;242.88;485.76;2020/07/02
12206;119;Hotel K;Salvador (BH);4;263.41;1053.64;2020/07/09
12208;119;Hotel Z;Aracaju (SE);1;208.04;208.04;2020/07/23
12210;119;Hotel CB;Rio de Janeiro (RJ);1;165.99;165.99;2020/08/06
12213;119;Hotel BD;Natal (RN);1;242.88;242.88;2020/08/27
12214;119;Hotel K;Salvador (BH);2;263.41;526.82;2020/09/03
12217;119;Hotel A;Florianopolis (SC);1;313.02;313.02;2020/09/24
12220;119;Hotel K;Salvador (BH);3;263.41;790.23;2020/10/15
12224;119;Hotel CB;Rio de Janeiro (RJ);3;165.99;497.97;2020/11/12
12228;119;Hotel BD;Natal (RN);3;242.88;728.64;2020/12/10
12233;119;Hotel A;Florianopolis (SC);3;313.02;939.06;2021/01/14
12236;119;Hotel A;Florianopolis (SC);4;313.02;1252.08;2021/02/04
12245;119;Hotel AU;Recife (PE);1;312.83;312.83;2021/04/08
12248;119;Hotel BP;Brasilia (DF);2;247.62;495.24;2021/04/29
